job_title,company_name,copany_location,job_type,experience needed
Production Engineer-Sheet Metal,Confidential -,Abu Rawash, Giza, Egypt ,Full Time,· 3 - 10 Yrs of Exp
Production Engineer,Royal Tents  -,Ameria, Alexandria, Egypt ,Full Time,· 3 - 5 Yrs of Exp
Production Engineer,ksa -,10th of Ramadan City, Cairo, Egypt ,Full Time,· 3 - 5 Yrs of Exp
Production Engineer - Intern,ICON Holding -,Helwan, Cairo, Egypt ,Internship,Engineering
Production Engineer (Fresh Graduate),Egyptian Starch and Glucose  Manufacturing Company -,Musturad, Qalubia, Egypt ,Full Time,· 0 - 2 Yrs of Exp
Senior Production Engineer,ICON Holding -,Helwan, Cairo, Egypt ,Full Time,· 3 - 5 Yrs of Exp
Junior Mechanical Production Engineer,Medineeds -,Marg, Cairo, Egypt ,Full Time,· 0 - 2 Yrs of Exp
Electrical Production Engineer,Medineeds -,Marg, Cairo, Egypt ,Full Time,· 0 - 2 Yrs of Exp
Production Engineer,E.T.M -,khanka, Qalubia, Egypt ,Full Time,· 2+ Yrs of Exp
Production Engineer,Global Energy For Investment and Industry -,Idku, Beheira, Egypt ,Full Time,· 3 - 5 Yrs of Exp
Furniture Production Engineer,Almsrya Furniture -,Alsadat City, Monufya, Egypt ,Full Time,· 1 - 5 Yrs of Exp
Production Engineer,W.Alaska -,10th of Ramadan City, Cairo, Egypt ,Full Time,· 5+ Yrs of Exp
Production Engineer ( Food Colors),Holw El Sham -,6th of October, Giza, Egypt ,Full Time,· 3 - 5 Yrs of Exp
Plastic Production Engineer - Blowing Machines,Confidential -,Giza, Egypt ,Full Time,· 0 - 1 Yrs of Exp
Production Engineer,Gulsan Egypt Non-Woven Industries -,6th of October, Giza, Egypt ,Full Time,· 0 - 3 Yrs of Exp
